Physical Security Measure ID #,Measure Type,FacilityID,Lat,Long,Facility type,Post Name,RFA ID,Building Name,RFAType,Measure ID,Description,Description_Short,PVThreat,Tthreat,Cthreat,Region,Country
322,Conforming,9,36.1156° N,97.0584° W,Consular facility,Stillwater OK,24,Warehouse - mechanical,Warehouse,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Alpha,Alpha,Southwest,
323,Conforming,9,36.1156° N,97.0584° W,Consular facility,Stillwater OK,24,Warehouse - mechanical,Warehouse,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Alpha,Alpha,Southwest,
329,Conforming,9,36.1156° N,97.0584° W,Consular facility,Stillwater OK,25,Facilities building,Warehouse,87,Upgrade building exterior to make it difficult to scale ,,Alpha,Alpha,Alpha,Southwest,
330,Conforming,9,36.1156° N,97.0584° W,Consular facility,Stillwater OK,25,Facilities building,Warehouse,89,Upgrade building exterior doors with strong and robust with RSO-approved hardware ,,Alpha,Alpha,Alpha,Southwest,
331,Conforming,9,36.1156° N,97.0584° W,Consular facility,Stillwater OK,25,Facilities building,Warehouse,172,Close off all but one designated door for all Lock and Leave facilities. ,,Alpha,Alpha,Alpha,Southwest,
332,Conforming,9,36.1156° N,97.0584° W,Consular facility,Stillwater OK,25,Facilities building,Warehouse,176,Install approved Lock and Leave door ,,Alpha,Alpha,Alpha,Southwest,
333,Conforming,10,30.2672° N,97.7431° W,Embassy,Austin TX,26,Embassy building,Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Bravo,Alpha,Bravo,Southwest,
334,Conforming,10,30.2672° N,97.7431° W,Embassy,Austin TX,26,Embassy building,Office building,10,Upgrade perimeter walls and fences are constructed with sufficient height ,,Bravo,Alpha,Bravo,Southwest,
337,Conforming,10,30.2672° N,97.7431° W,Embassy,Austin TX,26,Embassy building,Office building,53,Relocate employee parking to 50ft or further from building exterior. ,,Bravo,Alpha,Bravo,Southwest,
339,Conforming,10,30.2672° N,97.7431° W,Embassy,Austin TX,26,Embassy building,Office building,68,Upgrade Pedestrian entrances lighting ,,Bravo,Alpha,Bravo,Southwest,
342,Conforming,10,30.2672° N,97.7431° W,Embassy,Austin TX,26,Embassy building,Office building,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Bravo,Alpha,Bravo,Southwest,
344,Conforming,10,30.2672° N,97.7431° W,Embassy,Austin TX,26,Embassy building,Office building,119,Consular/Interview/Other Public Access Areas: Upgrade Teller windows to 5 min. FE/BR ,,Bravo,Alpha,Bravo,Southwest,
348,Conforming,10,30.2672° N,97.7431° W,Embassy,Austin TX,26,Embassy building,Office building,192,"Relocate EC room to a dedicated room, behind the interior hardline, as close to the MSG/Guard booth as possible ",,Bravo,Alpha,Bravo,Southwest,
351,Conforming,11,32.7767° N,96.7970° W,Consular office,Dallas TX,27,Rented office in large building,Office,53,Relocate employee parking to 50ft or further from building exterior. ,,Alpha,Bravo,Bravo,Southwest,
352,Conforming,11,32.7767° N,96.7970° W,Consular office,Dallas TX,27,Rented office in large building,Office,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Bravo,Bravo,Southwest,
355,Conforming,11,32.7767° N,96.7970° W,Consular office,Dallas TX,27,Rented office in large building,Office,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Bravo,Bravo,Southwest,
356,Conforming,11,32.7767° N,96.7970° W,Consular office,Dallas TX,27,Rented office in large building,Office,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Bravo,Bravo,Southwest,
357,Conforming,11,32.7767° N,96.7970° W,Consular office,Dallas TX,27,Rented office in large building,Office,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Bravo,Bravo,Southwest,
359,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,28,Office building,Office building,9,Upgrade perimeter walls and fences are constructed with sufficient height ,,Alpha,Alpha,Alpha,Southwest,
360,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,28,Office building,Office building,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,Alpha,Alpha,Alpha,Southwest,
361,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,28,Office building,Office building,19,"Create a clear zone, free of all visual obstructions that would conceal an intruder, for a distance of 20 feet inward from the protected side of the perimeter wall or fence ",,Alpha,Alpha,Alpha,Southwest,
365,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,28,Office building,Office building,62,Upgrade Building entrances lighting ,,Alpha,Alpha,Alpha,Southwest,
371,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,28,Office building,Office building,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Alpha,Alpha,Southwest,
373,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,28,Office building,Office building,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Alpha,Alpha,Southwest,
375,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,29,Residential building,Residence,65,Upgrade Residence entrance and hallways lighting ,,Alpha,Alpha,Alpha,Southwest,
381,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,30,"Warehouse, multipurpose",Warehouse,73,Upgrade Water approaches lighting ,,Alpha,Alpha,Alpha,Southwest,
382,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,30,"Warehouse, multipurpose",Warehouse,87,Upgrade building exterior to make it difficult to scale ,,Alpha,Alpha,Alpha,Southwest,
385,Conforming,12,29.4241° N,98.4936° W,Diplomatic support facility,San Antonio TX,30,"Warehouse, multipurpose",Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Alpha,Alpha,Southwest,
388,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,1,600_600_600 Contiguous Office Space ,,Alpha,Alpha,Alpha,Pacific,
390,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Alpha,Alpha,Alpha,Pacific,
392,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,Alpha,Alpha,Alpha,Pacific,
396,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,50,Upgrade Vehicle entrance so all walls/fences/gates are equal to or higher than 9 ft. ,,Alpha,Alpha,Alpha,Pacific,
397,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,51,Upgrade Vehicle entrance so all walls/fences/gates are anti-climb ,,Alpha,Alpha,Alpha,Pacific,
400,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,77,Add lighting to master cutoff ,,Alpha,Alpha,Alpha,Pacific,
401,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,78,Move lighting master cutoff inside ,,Alpha,Alpha,Alpha,Pacific,
402,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,80,Conduct a blast vulnerability study ,,Alpha,Alpha,Alpha,Pacific,
405,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,31,"Office, consular",Office building,93,"Upgrade emergency exit doors with electric emergency lock, override and panic exit device ",,Alpha,Alpha,Alpha,Pacific,
413,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,32,Consular staff residence,Residence,62,Upgrade Building entrances lighting ,,Alpha,Alpha,Alpha,Pacific,
419,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,32,Consular staff residence,Residence,124,Configure CAA access points to prevent observation of entrants ,,Alpha,Alpha,Alpha,Pacific,
420,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,32,Consular staff residence,Residence,144,Upgrade facility to have sufficient safe havens or safe haven space for all assigned staff ,,Alpha,Alpha,Alpha,Pacific,
422,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,32,Consular staff residence,Residence,149,Upgrade Safe haven(s) doors to meet safe haven door standards ,,Alpha,Alpha,Alpha,Pacific,
424,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,32,Consular staff residence,Residence,151,Upgrade safe haven to have secured storage for emergency supplies ,,Alpha,Alpha,Alpha,Pacific,
427,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,33,Warehouse - supply and distribution,Warehouse,8,Upgrade perimeter fences or walls to deny access to warehouse roof ,,Alpha,Alpha,Alpha,Pacific,
430,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,33,Warehouse - supply and distribution,Warehouse,59,Upgrade building exterior surfaces lighting ,,Alpha,Alpha,Alpha,Pacific,
434,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,33,Warehouse - supply and distribution,Warehouse,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Alpha,Alpha,Alpha,Pacific,
436,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,33,Warehouse - supply and distribution,Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Alpha,Alpha,Pacific,
438,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,33,Warehouse - supply and distribution,Warehouse,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Alpha,Alpha,Pacific,
443,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,45,"Add Vehicle barrier does have emergency override, visual indication of barrier status, or barrier height is equal or greater than 36 inches ",,Alpha,Alpha,Alpha,Pacific,
444,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,59,Upgrade building exterior surfaces lighting ,,Alpha,Alpha,Alpha,Pacific,
445,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,80,Conduct a blast vulnerability study ,,Alpha,Alpha,Alpha,Pacific,
446,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,85,Upgrade building exterior walls construction to substantial material construction ,,Alpha,Alpha,Alpha,Pacific,
449,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,102,Upgrade roll-up-down doors with doors of substantial material ,,Alpha,Alpha,Alpha,Pacific,
450,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Alpha,Alpha,Pacific,
451,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Alpha,Alpha,Pacific,
452,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,34,Warehouse - mechanical,Warehouse,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Alpha,Alpha,Pacific,
458,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,35,Facilities building,Warehouse,87,Upgrade building exterior to make it difficult to scale ,,Alpha,Alpha,Alpha,Pacific,
459,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,35,Facilities building,Warehouse,89,Upgrade building exterior doors with strong and robust with RSO-approved hardware ,,Alpha,Alpha,Alpha,Pacific,
460,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,35,Facilities building,Warehouse,172,Close off all but one designated door for all Lock and Leave facilities. ,,Alpha,Alpha,Alpha,Pacific,
461,Conforming,13,38.5449° N,121.7405° W,Consular facility,Davis CA,35,Facilities building,Warehouse,176,Install approved Lock and Leave door ,,Alpha,Alpha,Alpha,Pacific,
462,Conforming,14,38.5816° N,121.4944° W,Embassy,Sacramento CA,36,Embassy building,Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Bravo,Alpha,Charlie,Pacific,
463,Conforming,14,38.5816° N,121.4944° W,Embassy,Sacramento CA,36,Embassy building,Office building,10,Upgrade perimeter walls and fences are constructed with sufficient height ,,Bravo,Alpha,Charlie,Pacific,
466,Conforming,14,38.5816° N,121.4944° W,Embassy,Sacramento CA,36,Embassy building,Office building,53,Relocate employee parking to 50ft or further from building exterior. ,,Bravo,Alpha,Charlie,Pacific,
468,Conforming,14,38.5816° N,121.4944° W,Embassy,Sacramento CA,36,Embassy building,Office building,68,Upgrade Pedestrian entrances lighting ,,Bravo,Alpha,Charlie,Pacific,
471,Conforming,14,38.5816° N,121.4944° W,Embassy,Sacramento CA,36,Embassy building,Office building,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Bravo,Alpha,Charlie,Pacific,
473,Conforming,14,38.5816° N,121.4944° W,Embassy,Sacramento CA,36,Embassy building,Office building,119,Consular/Interview/Other Public Access Areas: Upgrade Teller windows to 5 min. FE/BR ,,Bravo,Alpha,Charlie,Pacific,
477,Conforming,14,38.5816° N,121.4944° W,Embassy,Sacramento CA,36,Embassy building,Office building,192,"Relocate EC room to a dedicated room, behind the interior hardline, as close to the MSG/Guard booth as possible ",,Bravo,Alpha,Charlie,Pacific,
480,Conforming,15,34.0522° N,118.2437° W,Consular office,Los Angeles CA,37,Rented office in large building,Office,53,Relocate employee parking to 50ft or further from building exterior. ,,Alpha,Bravo,Delta,Pacific,
481,Conforming,15,34.0522° N,118.2437° W,Consular office,Los Angeles CA,37,Rented office in large building,Office,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Bravo,Delta,Pacific,
484,Conforming,15,34.0522° N,118.2437° W,Consular office,Los Angeles CA,37,Rented office in large building,Office,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Bravo,Delta,Pacific,
485,Conforming,15,34.0522° N,118.2437° W,Consular office,Los Angeles CA,37,Rented office in large building,Office,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Bravo,Delta,Pacific,
486,Conforming,15,34.0522° N,118.2437° W,Consular office,Los Angeles CA,37,Rented office in large building,Office,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Bravo,Delta,Pacific,
488,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,38,Office building,Office building,9,Upgrade perimeter walls and fences are constructed with sufficient height ,,Bravo,Alpha,Charlie,Pacific,
489,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,38,Office building,Office building,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,Bravo,Alpha,Charlie,Pacific,
490,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,38,Office building,Office building,19,"Create a clear zone, free of all visual obstructions that would conceal an intruder, for a distance of 20 feet inward from the protected side of the perimeter wall or fence ",,Bravo,Alpha,Charlie,Pacific,
494,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,38,Office building,Office building,62,Upgrade Building entrances lighting ,,Bravo,Alpha,Charlie,Pacific,
500,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,38,Office building,Office building,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Bravo,Alpha,Charlie,Pacific,
502,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,38,Office building,Office building,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Bravo,Alpha,Charlie,Pacific,
504,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,39,Residential building,Residence,65,Upgrade Residence entrance and hallways lighting ,,Bravo,Alpha,Charlie,Pacific,
510,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,40,"Warehouse, multipurpose",Warehouse,73,Upgrade Water approaches lighting ,,Bravo,Alpha,Charlie,Pacific,
511,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,40,"Warehouse, multipurpose",Warehouse,87,Upgrade building exterior to make it difficult to scale ,,Bravo,Alpha,Charlie,Pacific,
514,Conforming,16,32.7157° N,117.1611° W,Diplomatic support facility,San Diego CA,40,"Warehouse, multipurpose",Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Bravo,Alpha,Charlie,Pacific,
